lineage,internal,median_rate,branch_length
T9,False,1.9189830899531567e-07,5.400291572924523
T9,False,8.755546732794833e-07,4.140539707319011
T9,False,7.61057061988122e-07,3.3353914033612817
T9,False,8.60272247128067e-07,3.3353914033612817
T9,True,1.3490790737143296e-07,0.7192082879885433
T9,False,2.946308120198769e-07,3.2855824797306035
T9,False,4.84354803358826e-07,0.8579226865880045
T9,False,7.286809257542016e-07,0.8579226865880045
T9,True,4.714621361117209e-07,1.5003884471227025
T9,False,5.166616705576222e-07,2.358311133710707
T9,True,1.8341928779362081e-07,0.3289651528421942
T9,False,2.5451763124303754e-07,0.5511269816906967
T9,False,4.818964385090248e-07,0.5511269816906967
T9,True,2.682676933783645e-07,0.11979742306777652
T9,False,2.6079098494245896e-07,0.45914936973727194
T9,False,2.639024712432542e-07,0.45914936973727194
T9,True,2.5652469628713423e-07,0.21177503502120132
T9,True,3.327932360278631e-07,1.4769853282946563
T9,False,5.557261695352837e-07,2.1479097330531296
T9,True,1.9979738269491248e-07,0.5393665534997716
T9,True,7.98357751930145e-08,0.5928430063798729
T9,False,2.498761814278298e-06,1.2801192929328735
T9,True,3.671945085852336e-07,0.005463186797829422
T9,True,1.7952817390513569e-07,0.022019471213113206
T9,False,8.599994906398354e-07,2.2392414059035417
T9,False,6.858147146242765e-07,3.239241405903492
T9,True,2.080012779738974e-07,0.17017253660665332
T9,False,1.6328722674579514e-07,2.409413942510195
T9,True,2.2873135390936583e-07,0.8981880084335216
T9,True,5.526530408565401e-07,2.288281860941389
T9,False,3.594375069983573e-07,2.0462198261266877
T9,False,4.166172598609351e-06,2.0462198261266877
T9,True,4.4022213585442656e-07,2.549663985758471
T9,True,2.001268104815371e-07,0.45871587946462
T9,True,5.796145992459185e-07,0.08594001596918588
T9,True,3.093045560390728e-07,0.2025505687306648
T9,False,5.289302807657139e-07,5.04226683847056
T9,False,2.6908499884364227e-07,3.3761408397985058
T9,False,1.8115593992982727e-07,2.908924144844793
T9,False,5.770230322646904e-07,2.908924144844793
