tree,total_branch_length,Nigeria,Nigeria_random,Cameroon,Cameroon_random,Democratic Republic of the Congo,Democratic Republic of the Congo_random,Uganda,Uganda_random,Zambia,Zambia_random,Malawi,Malawi_random,Mozambique,Mozambique_random
11,0.0019073646214302804,0.00010225110918017644,3.9529026148886395e-05,1.6251792795671455e-05,2.4126626195416015e-05,0.00010052456245449688,0.00011457614933176974,5.610225615884255e-05,1.2895426529965824e-05,5.209936554949595e-05,0.00010422748973918446,2.7345970671404166e-05,2.550495478721151e-05,1.7806410223589024e-05,1.844073775086755e-05
12,0.001960262252492507,9.684235891345124e-05,6.48163479512005e-05,1.638602921610866e-05,8.748679453620366e-06,0.00010560619360850646,0.00011365764497282566,6.246129002970878e-05,2.4763531944034523e-05,5.0361988737391075e-05,0.00011303249305510054,2.710107598488925e-05,3.268133796093301e-05,1.80145033350954e-05,2.171433758949709e-05
13,0.001920416021466414,0.00010032532904474768,6.44287408734952e-05,1.8797502526700025e-05,1.2900297940587717e-05,0.00010465566310715333,9.080321396344546e-05,6.791307076248459e-05,1.5686631864815243e-05,5.2113640764499085e-05,0.00013064230210776072,2.864673014032538e-05,2.631915952411323e-05,1.4704547914358565e-05,1.5015332256273876e-05
14,0.001921463280388468,9.5382916106195e-05,6.130328667500445e-05,1.7193827181504915e-05,7.5176251068914506e-06,0.00010864989683746513,0.00011383197995431865,6.532052866391582e-05,1.8697555574453007e-05,5.673976475500074e-05,0.00013184890405145604,2.886128765215365e-05,4.1822594202053616e-05,1.6821055431106083e-05,1.9339452396230448e-05
15,0.0019026094972790374,9.391637178166132e-05,5.085581480620237e-05,1.9202773520796742e-05,1.3572930017648503e-05,9.825346891622526e-05,0.00011611437730520363,6.52929729116757e-05,2.9220681012303998e-05,4.981431843535883e-05,0.00012743690860836073,2.4707161079126714e-05,3.0450003065878506e-05,2.023785781598902e-05,1.2589098702393614e-05
16,0.0019152612551071408,9.322396711161337e-05,4.7496683083964996e-05,1.807102261814405e-05,1.0988482253722603e-05,0.00010069794415945663,0.00012779644391742138,6.481224170659249e-05,1.833049612166328e-05,5.092872583062303e-05,0.00013553312050587,2.6921034038177504e-05,2.651995636158413e-05,2.192380311948354e-05,2.537526137543194e-05
17,0.0019153962793880975,0.00010552962396554095,7.148810294013534e-05,1.6472141894260028e-05,1.0289139801302177e-05,9.6242608818371e-05,9.914373469897906e-05,6.262713766476695e-05,2.6555650310210567e-05,5.5520077802451205e-05,0.00013973595833765683,2.4007237986502184e-05,3.1706667537847316e-05,1.9895916437211517e-05,1.431229519292549e-05
18,0.0019260728424626483,9.694656324698821e-05,8.607564978052422e-05,2.0848021936333352e-05,1.73335207102358e-05,9.946524254286619e-05,7.740694073590034e-05,6.465997565395856e-05,1.1782981149778072e-05,5.2648571747404603e-05,0.00013765090103986556,2.8812202149877805e-05,3.3010215940053366e-05,1.730974255416862e-05,2.103334650149129e-05
19,0.0018956757130382013,9.999395747027672e-05,6.81248670418291e-05,1.883141997422724e-05,2.159099954070166e-05,0.0001005751546005408,0.00012197452621829589,6.29852420991478e-05,2.2181050339082535e-05,5.5256778199917105e-05,0.00011340416621117644,2.9493099810769252e-05,2.6717605999582866e-05,1.6574514356395035e-05,2.2158473236515283e-05
20,0.0019167169415360468,0.00010201720607297925,5.6499689318315104e-05,1.8686353930036717e-05,1.807798794036192e-05,9.680617652669502e-05,9.120429011522991e-05,6.105726709014253e-05,1.075584865586161e-05,5.670622731712878e-05,9.851198958391602e-05,2.838708049265285e-05,3.161163340843157e-05,1.8611275129094395e-05,2.6263165534817084e-05
