country,V,Km,max_intros,percent_captured
Cameroon,23.96124855826017,38.21254890527398,18,0.7512129410215919
Cameroon,23.65601156954798,43.94451453677595,17,0.7186333989574065
Cameroon,21.58727723923466,37.074859085185786,16,0.7411773065535177
Cameroon,18.891534699709307,29.04961560872423,15,0.7940064287223214
Cameroon,18.51387782501918,26.549952298392775,15,0.8102030348136675
Cameroon,24.470286417881944,42.530266697,17,0.6947201070591905
Cameroon,23.404014605778727,38.11790437955674,17,0.7263711071092265
Cameroon,28.01188576104485,47.901487570511925,19,0.6782835030129473
Cameroon,24.00359199771004,36.39754255508569,18,0.7498877668691092
Cameroon,22.71903089234765,31.66282474191523,18,0.7922873156558302
Cameroon,23.3035003390979,38.55775104561501,17,0.7295041411215774
Cameroon,23.905327490378735,38.45558744985383,17,0.7111385529791237
Cameroon,27.458566672284647,50.32897434748408,18,0.6555331243188426
Cameroon,27.788848329591744,49.819688081273796,19,0.6837275073313244
Cameroon,19.264745488780328,30.397017664395268,15,0.7786243534198731
Cameroon,20.07635147857713,33.29301144694312,15,0.7471477083874551
Cameroon,27.13391464986938,44.009316757965415,19,0.7002306981934678
Cameroon,24.496877602567668,39.26416775601818,18,0.7347875223948259
Cameroon,23.60665140443089,40.07435075651579,17,0.7201360205119628
Cameroon,23.575632888488688,40.24633539070088,17,0.7210835051771025
Cameroon,24.687168629615467,38.89932505975007,18,0.7291237107849889
Cameroon,26.431411687549648,40.39470758421561,19,0.7188416655380474
Cameroon,22.68866884192978,35.17841818550898,17,0.7492726928334889
Cameroon,30.030486026505724,57.8630892531324,19,0.6326903927971756
Cameroon,17.864251973942945,31.359411262653662,14,0.7836880055442904
Cameroon,20.389084002274537,27.670240185433844,16,0.784733634832006
Cameroon,22.62551852043693,29.16649880174559,18,0.795561877785968
Cameroon,22.50148647084048,34.529252360365575,17,0.7555056427952075
Cameroon,18.655009104678832,30.133175205491938,14,0.7504686768814647
Cameroon,20.896617100402192,28.908986871125087,17,0.8135288079558487
Cameroon,25.676928413241644,39.70688664484161,19,0.7399638965461952
Cameroon,24.911170601562464,35.481650785896434,19,0.7627100429719788
Cameroon,26.159975535623207,39.123217859084065,19,0.7263003734130734
Cameroon,25.654911753018947,38.086518900149905,19,0.7405989224564054
Cameroon,30.24913777975781,53.353953298899754,20,0.6611758703874081
Cameroon,22.858018480812447,45.3162207117589,16,0.6999731850523602
Cameroon,27.399606528245496,40.423189636021995,19,0.6934406149377885
Cameroon,25.94497928774855,42.780270660344186,18,0.693775847741754
Cameroon,27.429864657363396,38.78529935376967,20,0.7291322888328984
Cameroon,21.859475670435526,36.140398014088085,16,0.7319480229637739
Cameroon,25.507919289955684,40.511573477466236,18,0.7056632019016896
Cameroon,21.847429040889608,37.9717503577854,16,0.7323516176688081
Cameroon,24.62599229254217,37.33310943753696,18,0.7309350131426456
Cameroon,17.95450086260915,26.424453809247566,14,0.77974877202827
Cameroon,23.659549188922245,40.72720711729543,17,0.7185259475679129
Cameroon,24.30605316530553,40.89122045808626,17,0.6994142522598364
Cameroon,26.936532101880232,48.207128413814054,18,0.6682374676858852
Cameroon,24.693834896789376,40.46946317050775,18,0.7289268789247599
Cameroon,19.790497680817175,26.25033142298116,16,0.8084688044762368
Cameroon,23.972060603853926,33.11320874019171,18,0.7508741237332842
Cameroon,23.84024940894982,38.73771915740702,18,0.7550256581310201
Cameroon,29.61637498499776,42.55464609528977,21,0.7090671971379886
Cameroon,25.0507790267646,40.482239386198835,18,0.7185405284509735
Cameroon,24.684405720426668,39.695554014314084,18,0.729205321119186
Cameroon,25.76032896923034,40.67610666148295,19,0.7375682206036547
Cameroon,25.148500441559897,41.76755515587547,18,0.7157484416149748
Cameroon,22.459751317657854,35.458352911948815,17,0.7569095382919312
Cameroon,28.277473332720895,38.4779106543389,21,0.7426406084061313
Cameroon,17.767804957990005,26.193154938543053,14,0.7879420127078972
Cameroon,27.062155916690003,44.579279101689835,19,0.7020874485569776
Cameroon,30.431985195269267,51.60979992074472,20,0.6572032639891351
Cameroon,17.5519958890697,24.484787773209618,14,0.7976300865429404
Cameroon,23.010985211030274,38.840093217021646,16,0.6953200766184678
Cameroon,28.535841462129785,47.59129614775933,19,0.6658293229311321
Cameroon,21.9054786345232,31.277447557600006,17,0.7760615635765142
Cameroon,21.908698103459077,29.03493670018481,18,0.8215914937071523
Cameroon,23.206344905485487,36.714261519534766,17,0.7325582753008881
Cameroon,30.30523466408899,42.30910108549819,21,0.6929495921338145
Cameroon,26.287689986834646,42.1519754988646,19,0.7227717615931847
Cameroon,26.723729795409604,44.50747854598805,19,0.7109786001227895
Cameroon,31.474095060912916,48.35734403744713,21,0.667215370588351
Cameroon,18.04624281418527,26.407388506053103,15,0.8311979482072154
Cameroon,24.00409801354761,36.09964985117001,18,0.7498719589397206
Cameroon,20.309025662005883,31.538776736032744,16,0.78782706104571
Cameroon,22.79565989693274,35.68762152399479,17,0.74575599376649
Cameroon,19.84489688482672,26.33395632581578,16,0.8062526146071082
Cameroon,23.140657678841293,38.28686978995367,17,0.7346377201519205
Cameroon,27.53507402995017,45.16197069501063,19,0.6900290146063712
Cameroon,26.601558596248278,40.86969606527473,19,0.7142438639922265
Cameroon,21.93596138852078,35.766168232845395,16,0.7293958863536701
Cameroon,27.46970981363213,41.83767712548259,20,0.7280746733653077
Cameroon,29.272140941700155,46.94584890462047,20,0.6832434989921984
Cameroon,25.34404130602809,40.1282787440263,18,0.7102261151901884
Cameroon,24.618801146916592,38.54549287595707,18,0.7311485190762195
