Location,TL,TR,Primary,Phantom,deaths,sCh,,,,,,
AFR::COD,2001-01-01,2001-12-31,TRUE,FALSE,390,5728,,,,,,
AFR::COD,2002-01-01,2002-12-31,TRUE,FALSE,1979,31658,,,,,,
AFR::COD,2003-01-01,2003-12-31,TRUE,FALSE,989,27272,,,,,,
AFR::COD,2004-01-01,2004-12-31,TRUE,FALSE,228,7665,,,,,,
AFR::COD,2005-01-01,2005-12-31,TRUE,FALSE,244,13430,,,,,,
AFR::COD,2006-01-01,2006-12-31,TRUE,FALSE,426,20642,,,,,,
AFR::COD,2007-01-01,2007-12-31,TRUE,FALSE,600,28269,,,,,,
AFR::COD,2008-01-01,2008-12-31,TRUE,FALSE,548,30150,,,,,,
AFR::COD,2009-01-01,2009-12-31,TRUE,FALSE,237,22899,,,,,,
AFR::COD,2010-01-01,2010-12-31,TRUE,FALSE,182,13884,,,,,,
AFR::COD,2011-01-01,2011-12-31,TRUE,FALSE,584,21700,,,,,,
AFR::COD,2012-01-01,2012-12-31,TRUE,FALSE,819,33661,,,,,,
AFR::COD,2013-01-01,2013-12-31,TRUE,FALSE,491,26944,,,,,,
AFR::COD,2014-01-01,2014-12-31,TRUE,FALSE,372,22203,,,,,,
AFR::COD,2015-01-01,2015-12-31,TRUE,FALSE,276,19182,,,,,,
AFR::COD,2016-01-01,2016-12-31,TRUE,FALSE,759,28093,,,,,,
AFR::COD,2017-01-01,2017-12-31,TRUE,FALSE,1190,56190,,,,,,
AFR::COD,2018-01-01,2018-12-31,TRUE,FALSE,972,30768,,,,,,
AFR::COD,2019-01-01,2019-12-31,TRUE,FALSE,514,30304,,,,,,
AFR::COD,2020-01-01,2020-12-31,TRUE,FALSE,354,19789,,,,,,
AFR::COD,2021-01-01,2021-12-31,TRUE,FALSE,209,12103,,,,,,
AFR::COD,2022-01-01,2022-12-31,TRUE,FALSE,298,18961,,,,,,
AFR::COD,2023-01-01,2023-12-31,TRUE,FALSE,437,51970,,,,,,
AFR::COD,2024-01-01,2024-12-31,TRUE,FALSE,186,10754,,,,,,
AFR::MWI,1973-01-01,1973-12-31,TRUE,FALSE,20,371,,,,,,
AFR::MWI,1976-01-01,1976-12-31,TRUE,FALSE,0,19,,,,,,
AFR::MWI,1977-01-01,1977-12-31,TRUE,FALSE,0,577,,,,,,
AFR::MWI,1978-01-01,1978-12-31,TRUE,FALSE,24,263,,,,,,
AFR::MWI,1981-01-01,1981-12-31,TRUE,FALSE,0,261,,,,,,
AFR::MWI,1983-01-01,1983-12-31,TRUE,FALSE,49,487,,,,,,
AFR::MWI,1988-01-01,1988-12-31,TRUE,FALSE,0,6,,,,,,
AFR::MWI,1989-01-01,1989-12-31,TRUE,FALSE,16,8351,,,,,,
AFR::MWI,1990-01-01,1990-12-31,TRUE,FALSE,481,13457,,,,,,
AFR::MWI,1991-01-01,1991-12-31,TRUE,FALSE,245,8088,,,,,,
AFR::MWI,1992-01-01,1992-12-31,TRUE,FALSE,8,298,,,,,,
AFR::MWI,1993-01-01,1993-12-31,TRUE,FALSE,524,25193,,,,,,
AFR::MWI,1994-01-01,1994-12-31,TRUE,FALSE,11,107,,,,,,
AFR::MWI,1995-01-01,1995-12-31,TRUE,FALSE,0,1,,,,,,
AFR::MWI,1996-01-01,1996-12-31,TRUE,FALSE,0,1,,,,,,
AFR::MWI,1997-01-01,1997-12-31,TRUE,FALSE,15,130,,,,,,
AFR::MWI,1998-01-01,1998-12-31,TRUE,FALSE,74,1745,,,,,,
AFR::MWI,1999-01-01,1999-12-31,TRUE,FALSE,648,26508,,,,,,
AFR::MWI,2000-01-01,2000-12-31,TRUE,FALSE,56,2391,,,,,,
AFR::MWI,2001-01-01,2001-12-31,TRUE,FALSE,42,2395,,,,,,
AFR::MWI,2002-01-01,2002-12-31,TRUE,FALSE,911,32618,,,,,,
AFR::MWI,2003-01-01,2003-12-31,TRUE,FALSE,34,2736,,,,,,
AFR::MWI,2004-01-01,2004-12-31,TRUE,FALSE,4,675,,,,,,
AFR::MWI,2005-01-01,2005-12-31,TRUE,FALSE,11,1105,,,,,,
AFR::MWI,2006-01-01,2006-12-31,TRUE,FALSE,55,4148,,,,,,
AFR::MWI,2007-01-01,2007-12-31,TRUE,FALSE,5,475,,,,,,
AFR::MWI,2008-01-01,2008-12-31,TRUE,FALSE,26,831,,,,,,
AFR::MWI,2009-01-01,2009-12-31,TRUE,FALSE,125,5751,,,,,,
AFR::MWI,2010-01-01,2010-12-31,TRUE,FALSE,17,1155,,,,,,
AFR::MWI,2011-01-01,2011-12-31,TRUE,FALSE,4,120,,,,,,
AFR::MWI,2012-01-01,2012-12-31,TRUE,FALSE,2,187,,,,,,
AFR::MWI,2015-01-01,2015-12-31,TRUE,FALSE,11,693,,,,,,
AFR::MWI,2016-01-01,2016-12-31,TRUE,FALSE,46,1792,,,,,,
AFR::MWI,2017-01-01,2017-12-31,TRUE,FALSE,5,344,,,,,,
AFR::MWI,2018-01-01,2018-12-31,TRUE,FALSE,27,812,,,,,,
AFR::MWI,2019-01-01,2019-12-31,TRUE,FALSE,0,23,,,,,,
AFR::MWI,2020-01-01,2020-12-31,TRUE,FALSE,0,3,,,,,,
AFR::MWI,2021-01-01,2021-12-31,TRUE,FALSE,0,2,,,,,,
AFR::MWI,2022-01-01,2022-12-31,TRUE,FALSE,576,17488,,,,,,
AFR::MWI,2023-01-01,2023-12-31,TRUE,FALSE,1179,41219,,,,,,
AFR::MWI,2024-01-01,2024-12-31,TRUE,FALSE,3,205,,,,,,
AFR::MOZ,1973-01-01,1973-12-31,TRUE,FALSE,87,453,,,,,,
AFR::MOZ,1974-01-01,1974-12-31,TRUE,FALSE,138,1018,,,,,,
AFR::MOZ,1975-01-01,1975-12-31,TRUE,FALSE,3,11,,,,,,
AFR::MOZ,1976-01-01,1976-12-31,TRUE,FALSE,2,3,,,,,,
AFR::MOZ,1977-01-01,1977-12-31,TRUE,FALSE,3,18,,,,,,
AFR::MOZ,1979-01-01,1979-12-31,TRUE,FALSE,547,4564,,,,,,
AFR::MOZ,1980-01-01,1980-12-31,TRUE,FALSE,85,1212,,,,,,
AFR::MOZ,1981-01-01,1981-12-31,TRUE,FALSE,132,1753,,,,,,
AFR::MOZ,1982-01-01,1982-12-31,TRUE,FALSE,199,2301,,,,,,
AFR::MOZ,1983-01-01,1983-12-31,TRUE,FALSE,447,10745,,,,,,
AFR::MOZ,1984-01-01,1984-12-31,TRUE,FALSE,11,521,,,,,,
AFR::MOZ,1985-01-01,1985-12-31,TRUE,FALSE,0,3,,,,,,
AFR::MOZ,1986-01-01,1986-12-31,TRUE,FALSE,0,1,,,,,,
AFR::MOZ,1989-01-01,1989-12-31,TRUE,FALSE,12,371,,,,,,
AFR::MOZ,1990-01-01,1990-12-31,TRUE,FALSE,194,4152,,,,,,
AFR::MOZ,1991-01-01,1991-12-31,TRUE,FALSE,328,7847,,,,,,
AFR::MOZ,1992-01-01,1992-12-31,TRUE,FALSE,727,30802,,,,,,
AFR::MOZ,1993-01-01,1993-12-31,TRUE,FALSE,507,19803,,,,,,
